created_at,entry_id,field1,field2,field3,field4
2018-11-06 20:44:52 UTC,291843,0,34.7,27.062,25.125
2018-11-06 20:45:23 UTC,291844,0,34.7,27.062,25.125
2018-11-06 20:45:38 UTC,291845,0,35.2,27.062,25.125
2018-11-06 20:46:08 UTC,291846,0,34.7,27.062,25.187
2018-11-06 20:46:23 UTC,291847,0,35.8,27.062,25.187
2018-11-06 20:46:53 UTC,291848,0,34.7,27.062,25.125
2018-11-06 20:47:54 UTC,291849,0,33.6,27.0,25.125
2018-11-06 20:48:10 UTC,291850,0,35.2,27.0,25.125
2018-11-06 20:48:40 UTC,291851,0,34.7,27.0,25.125
2018-11-06 20:49:12 UTC,291852,0,34.7,27.0,25.125
2018-11-06 20:49:41 UTC,291853,0,34.7,27.062,25.187
2018-11-06 20:50:13 UTC,291854,0,34.7,27.0,25.187
2018-11-06 20:50:40 UTC,291855,0,35.2,26.937,25.125
2018-11-06 20:51:11 UTC,291856,0,35.8,26.937,25.187
2018-11-06 20:51:40 UTC,291857,0,35.8,26.875,25.187
2018-11-06 20:51:55 UTC,291858,0,35.8,26.875,25.187
2018-11-06 20:52:25 UTC,291859,0,35.8,26.812,25.187
2018-11-06 20:52:54 UTC,291860,0,35.8,26.812,25.187
2018-11-06 20:53:10 UTC,291861,0,35.8,26.875,25.187
2018-11-06 20:53:26 UTC,291862,0,35.8,26.875,25.187
2018-11-06 20:53:55 UTC,291863,0,35.8,26.937,25.187
2018-11-06 20:54:25 UTC,291864,0,35.8,26.937,25.187
2018-11-06 20:54:44 UTC,291865,0,35.2,27.0,25.187
2018-11-06 20:55:10 UTC,291866,0,35.8,27.062,25.187
2018-11-06 20:55:39 UTC,291867,0,35.8,27.062,25.187
2018-11-06 20:55:54 UTC,291868,0,35.8,27.062,25.187
2018-11-06 20:56:10 UTC,291869,0,35.8,27.125,25.187
2018-11-06 20:56:41 UTC,291870,0,35.8,27.062,25.187
2018-11-06 20:57:10 UTC,291871,0,35.8,27.125,25.187
2018-11-06 20:57:28 UTC,291872,0,35.8,27.187,25.187
2018-11-06 20:57:56 UTC,291873,0,35.8,27.25,25.187
2018-11-06 20:58:25 UTC,291874,0,35.8,27.25,25.187
2018-11-06 20:58:55 UTC,291875,0,36.3,27.25,25.187
2018-11-06 20:59:11 UTC,291876,0,36.3,27.312,25.187
2018-11-06 20:59:30 UTC,291877,0,35.8,27.312,25.187
2018-11-06 20:59:55 UTC,291878,0,36.9,27.312,25.187
2018-11-06 21:00:11 UTC,291879,0,35.8,27.375,25.187
2018-11-06 21:00:40 UTC,291880,0,35.8,27.375,25.187
2018-11-06 21:00:55 UTC,291881,0,35.8,27.375,25.187
2018-11-06 21:01:25 UTC,291882,0,35.8,27.375,25.187
2018-11-06 21:01:55 UTC,291883,0,35.8,27.375,25.187
2018-11-06 21:02:27 UTC,291884,0,36.3,27.375,25.187
2018-11-06 21:02:57 UTC,291885,0,35.8,27.375,25.187
2018-11-06 21:03:12 UTC,291886,0,35.8,27.375,25.187
2018-11-06 21:03:40 UTC,291887,0,35.8,27.312,25.187
2018-11-06 21:03:55 UTC,291888,0,35.8,27.312,25.187
2018-11-06 21:04:11 UTC,291889,0,35.8,27.312,25.187
2018-11-06 21:04:40 UTC,291890,0,35.8,27.25,25.187
2018-11-06 21:05:11 UTC,291891,0,35.8,27.312,25.187
2018-11-06 21:05:40 UTC,291892,0,35.8,27.312,25.187
